id,Name,Description,Building_type,Property_type,Amenities,host_id,Host_name,Host_identity_verified,Host_Experience,Host_fee,Neighbourhood,State,Zipcode,Currency,Season,Instant_bookable,Construction_year,Accommodation_year,Commission,Booking_total,Status,Bookings,Service_fee,Cancellation_Policy,Food_cost,Food_type,Minimum_nights,Reviews,Reviews_per_month,Review_rate_number,House_rules,Host_Revenue,Platform_Revenue,Total_Revenue,Year
5696374,The Home Away from Home,Female Only Clean15min to Manhattan,Apartment,Cabin,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Free parking' 'Air conditioning' 'Pool']",5622078,Jennifer,confirmed,Moderately Experienced,0.14,Richmond in Melbourne,Melbourne,4635,usd,Holiday Season,Yes,26-02-2016,26-02-2017,0.13,74.06,not confirmed,966,0,Flexible,23.15,['Cereals' 'Fruits' 'Vegetables' 'Bread and Jam' 'OJ'],468,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",5.78,2," I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife.",32.7744,3.1212,43.493,2017
9429854,Cozy Guesthouse,Cozy and Quiet,Apartment,Loft,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Free parking' 'Pool' 'LED TV']",2609137,Fedrick,not confirmed,Moderately Experienced,0,Roma Sur in MexicoCity,MexicoCity,3444,usd,Holiday Season,No,14-07-2022,14-07-2023,0.1,85.72,confirmed,82,0.64,Strict,59.36,['Cereals' 'Fruits' 'Vegetables' 'Bread and Jam' 'OJ'],371,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",7.54,5, I have a cute and quiet mixed chihuahua.,23.572,10.179,141.9714,2023
6836425,Danielle’s Boutique Inn,"MANHATTAN Neat, Nice, Bright ROOM",Private room,House,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Heaters' 'Air conditioning'
 'Smart locks for self check-in']",6293061,Thomas,confirmed,Moderately Experienced,0.12,Poncey-Highland in  Georgia,Montana,2224,usd,Holiday Season,Yes,12-07-2011,12-07-2012,0.13,70.45,confirmed,948,0.2,Flexible,41.85,['Cereals' 'Fruits' 'Vegetables' 'Juices' 'Yogurt'],157,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",2.4,9,Clean up and treat the home the way you'd like your home to be treated,30.499,5.832,78.8855,2012
3347453,West Shore Country Hale,Spacious Private Room in two bedroom apartment,Apartment,Condominium,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Pool' 'Iron and iron board' 'Air conditioning']",3755572,Owens,not confirmed,Inexperienced,0,Richmond in Melbourne,Melbourne,9848,usd,Non Holiday Season,No,18-09-2008,18-09-2009,0.12,89.17,not confirmed,843,0,Moderate,33.48,['Cereals' 'Fruits' 'Vegetables' 'Yogurt' 'Juices'],356,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,3.24,7,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,23.917,6.1236,57.2787,2009
6150402,The Starfish,Spacious Private Room in two bedroom apartment,Entire house,Townhouse,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Heaters' 'Air conditioning'
 'Smart locks for self check-in']",8657016,Robinson,not confirmed,Inexperienced,0,Hammerbrook in Germany,Germany,9448,usd,Non Holiday Season,No,19-03-2022,19-03-2023,0.14,76.11,confirmed,220,0.41,Moderate,18.97,['Cereals' 'Fruits' 'Vegetables' 'Juices' 'Bread and Jam'],471,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,8.39,3, I have a cute and quiet mixed chihuahua.,22.611,6.7959,74.2543,2023
8168962,The Secret Westside Lounge,BlissArtsSpace!,Entire house,Villa,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Air conditioning' 'LED TV' 'Pool']",4639792,Joyce,not confirmed,Moderately Experienced,0,Meireles in Brazil,Brazil,5227,usd,Non Holiday Season,No,17-10-2016,17-10-2017,0.1,73.01,confirmed,341,0.69,Strict,20.86,['Cereals' 'Fruits' 'Vegetables' 'Milk' 'Yogurt'],88,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",5.35,3, I have a cute and quiet mixed chihuahua.,22.301,4.3335,92.7607,2017
5635578,The Easy in Brooklyn,"Elegant 2-BR duplex, Union Square",Private room,Unconventional,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Iron and iron board' 'Coffee machine' 'Free parking']",6843190,Marc,not confirmed,Moderately Experienced,0,Roma Sur in MexicoCity,MexicoCity,8901,usd,Holiday Season,No,30-10-2008,30-10-2009,0.15,70.01,not confirmed,18,0,Moderate,43.15,['Cereals' 'Fruits' 'Vegetables' 'Juices' 'Milk'],380,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,7.04,2,"My ideal guests would be warm, friendly, and respectful of sharing my home and its rhythms.",22.001,3.8016,64.0519,2009
8845610,The Secret Westside Lounge,Sunnyside NYC/ AC room/ city views/ near Midtown,Private room,Villa,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Smart locks for self check-in' 'Air conditioning'
 'Iron and iron board']",8653297,Nekhena,not confirmed,Moderately Experienced,0,Oak Lawn in  Texas,Pune,5313,usd,Holiday Season,No,25-10-2022,25-10-2023,0.14,70.08,not confirmed,380,0,Moderate,27.46,['Cereals' 'Fruits' 'Vegetables' 'OJ' 'Juices'],277,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,9.76,7,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,22.008,18.4464,63.0088,2023
4895079,East Shore Hideaway,Brand New Cozy Woodside Studio- Close to NYC,Shared room,Bed & Breakfast,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Free parking' 'Smart locks for self check-in'
 'Air conditioning']",1703519,Karen Jennifer & Jan,confirmed,Experienced,0.12,The Bukit Peninsula in  Indonesia,Maine,6006,usd,Non Holiday Season,No,20-12-2011,20-12-2012,0.15,69.84,confirmed,315,0.38,Flexible,30.45,['Cereals' 'Fruits' 'Vegetables' 'Juices' 'Eggs'],142,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,8.37,4,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,30.3648,9.0396,77.4972,2012
6534112,Singtom Resort,Bright Modern Charming Housebarge,Apartment,Unconventional,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Heaters' 'Free parking' 'Iron and iron board']",6650280,Madaline,confirmed,Moderately Experienced,0.11,Roma Sur in MexicoCity,MexicoCity,5083,usd,Non Holiday Season,Yes,26-03-2010,26-03-2011,0.14,81.55,confirmed,905,0.49,Flexible,50.03,['Cereals' 'Fruits' 'Vegetables' 'Eggs' 'OJ'],349,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,2.14,6, I have a cute and quiet mixed chihuahua.,32.1255,3.4668,110.9028,2011
8101121,Chez Christopher’s,ALL ABOUT A VERY COMFORTABLE ROOM..,Entire house,House,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Smart locks for self check-in' 'Free parking' 'LED TV']",2444514,Victoria,confirmed,Moderately Experienced,0.14,Roma Sur in MexicoCity,MexicoCity,9552,usd,Non Holiday Season,Yes,30-03-2018,30-03-2019,0.12,70.86,not confirmed,538,0,Moderate,55.47,['Cereals' 'Fruits' 'Vegetables' 'Yogurt' 'Bread and Jam'],287,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,5.08,7,No smoking,32.0064,9.6012,82.197,2019
4769369,Hawthorne Crown Jewel,Stylish Large Gramercy Loft!,Shared room,Bed & Breakfast,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Free parking' 'Heaters' 'Washer and Dryer']",9870383,Zel,not confirmed,Experienced,0,Richmond in Melbourne,Melbourne,3750,usd,Non Holiday Season,No,12-02-2009,12-02-2010,0.11,66.51,confirmed,751,0.54,Moderate,51.35,['Cereals' 'Fruits' 'Vegetables' 'Yogurt' 'Milk'],6,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,7.34,8,Clean up and treat the home the way you'd like your home to be treated,21.651,15.8544,111.3608,2010
7925901,The Secret Westside Lounge,Food & Music Dream Apartment in Williamsburg,Entire house,Bed & Breakfast,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Iron and iron board' 'Smart locks for self check-in'
 'Heaters']",1578526,Elizabeth,confirmed,Experienced,0.12,Meireles in Brazil,Brazil,2208,usd,Holiday Season,Yes,27-01-2012,27-01-2013,0.12,79.87,not confirmed,910,0,Strict,26.92,['Cereals' 'Fruits' 'Vegetables' 'Yogurt' 'Milk'],236,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",1.77,1, I have a cute and quiet mixed chihuahua.,32.5714,0.4779,58.8498,2013
2557099,The Chalet,Spacious Private Room in two bedroom apartment,Private room,Condominium,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Iron and iron board' 'Washer and Dryer' 'Heaters']",9311180,Adams,confirmed,Experienced,0.12,Oak Lawn in  Texas,Bangalore,3008,usd,Non Holiday Season,No,20-06-2020,20-06-2021,0.13,73.05,not confirmed,387,0,Strict,24.95,['Cereals' 'Fruits' 'Vegetables' 'Bread and Jam' 'OJ'],224,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",8.98,6,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,31.071,14.5476,83.6552,2021
8032696,The Jackfruit Tree,BOHEMIAN EAST VILLAGE 2 BED HAVEN,Shared room,Townhouse,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Free parking' 'Smart locks for self check-in' 'Pool']",9322084,Layla,not confirmed,Moderately Experienced,0,District VII in  Hungary,Kansas,9126,usd,Non Holiday Season,Yes,28-10-2020,28-10-2021,0.13,84.81,not confirmed,981,0,Strict,57.53,['Cereals' 'Fruits' 'Vegetables' 'Milk' 'Eggs'],159,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,6.66,3,No smoking,23.481,5.3946,80.4689,2021
6370746,The Easy in Brooklyn,Designer 2.5 BR Loft in Carroll Gardens by Subway,Shared room,Condominium,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Heaters' 'Air conditioning' 'Iron and iron board']",3041904,Jenna,confirmed,Inexperienced,0.15,Oak Lawn in  Texas,Darwin,5263,usd,Holiday Season,No,24-05-2016,24-05-2017,0.1,80.47,not confirmed,927,0,Moderate,41.71,['Cereals' 'Fruits' 'Vegetables' 'Yogurt' 'Milk'],209,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,7.55,10, I have a cute and quiet mixed chihuahua.,35.1175,20.385,79.5091,2017
6596489,Cozy Guesthouse,Harlem/Hamilton Heights Cozy Room,Shared room,House,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Pool' 'Heaters' 'Coffee machine']",9993973,Kafayat,not confirmed,Inexperienced,0,Hammerbrook in Germany,Germany,8076,usd,Holiday Season,No,20-07-2020,20-07-2021,0.12,74.88,not confirmed,840,0,Flexible,54.58,['Cereals' 'Fruits' 'Vegetables' 'OJ' 'Eggs'],368,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,1.95,6,Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK,22.488,3.159,74.9854,2021
7112942,Radcliff Refuge,"Quirky, cozy, and fun in Bushwick!",Shared room,House,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'LED TV' 'Free parking' 'Heaters']",6996488,Walter,confirmed,Moderately Experienced,0.15,Hammerbrook in Germany,Germany,6723,usd,Non Holiday Season,No,21-10-2020,21-10-2021,0.14,64.51,confirmed,465,0.29,Strict,54.89,['Cereals' 'Fruits' 'Vegetables' 'Milk' 'Yogurt'],309,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",7.31,5,Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK,31.1275,9.8685,100.4017,2021
9357913,The Glen,Cozy room in Time Square!,Apartment,Villa,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Coffee machine' 'LED TV' 'Pool']",3250538,Haley,confirmed,Inexperienced,0.13,District VII in  Hungary,Colorado,2159,usd,Holiday Season,No,27-03-2012,27-03-2013,0.14,83.23,not confirmed,962,0,Flexible,38.12,['Cereals' 'Fruits' 'Vegetables' 'OJ' 'Eggs'],385,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,7.49,5,"My ideal guests would be warm, friendly, and respectful of sharing my home and its rhythms.",34.1429,10.1115,65.7284,2013
8190503,The Tired Traveler Inn,Spacious Stunning Harlem Townhouse,Private room,Townhouse,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Iron and iron board' 'Coffee machine' 'Free parking']",2326504,Tucker,confirmed,Moderately Experienced,0.16,Meireles in Brazil,Brazil,9981,usd,Non Holiday Season,No,22-02-2011,22-02-2012,0.14,77.26,confirmed,210,0.79,Moderate,46.31,['Cereals' 'Fruits' 'Vegetables' 'Muffins' 'OJ'],284,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",2.27,7,Clean up and treat the home the way you'd like your home to be treated,35.0876,4.2903,128.9535,2012
3076930,The Starfish,CHARMING EAST VILLAGE 2 (or 1) BR,Shared room,Townhouse,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Air conditioning' 'Pool' 'LED TV']",9241812,Maria,confirmed,Inexperienced,0.16,Poncey-Highland in  Georgia,Perth,2764,usd,Non Holiday Season,No,23-01-2012,23-01-2013,0.15,83.04,not confirmed,548,0,Strict,31.83,['Cereals' 'Fruits' 'Vegetables' 'Bread and Jam' 'Juices'],48,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",3.53,7,"My ideal guests would be warm, friendly, and respectful of sharing my home and its rhythms.",36.5904,6.6717,55.9929,2013
4410288,The Oasis,SUNNY 1 Bedroom APT in Fort Greene - BROOKLYN,Shared room,Condominium,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Free parking' 'LED TV' 'Washer and Dryer']",9587574,Carl,not confirmed,Moderately Experienced,0,Triana in Spain,Spain,4021,usd,Holiday Season,Yes,15-01-2012,15-01-2013,0.1,88.06,not confirmed,22,0,Strict,44.48,['Cereals' 'Fruits' 'Vegetables' 'Eggs' 'OJ'],137,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",8.39,1,No smoking,23.806,2.2653,64.3871,2013
4880792,The Easy in Brooklyn,2 BR w/ Terrace @ Box House Hotel,Private room,Unconventional,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Pool' 'Coffee machine' 'Air conditioning']",3663329,Kafayat,confirmed,Moderately Experienced,0.15,Hammerbrook in Germany,Germany,1345,usd,Non Holiday Season,No,15-10-2009,15-10-2010,0.13,85.52,not confirmed,156,0,Strict,35.57,['Cereals' 'Fruits' 'Vegetables' 'Bread and Jam' 'OJ'],464,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",4.69,2,Clean up and treat the home the way you'd like your home to be treated,36.38,2.5326,55.6682,2010
1524869,Curly Coelho Cottage,Your own Lovely West Village Studio,Entire house,Cabin,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Iron and iron board' 'Heaters'
 'Smart locks for self check-in']",7484698,Pirin,not confirmed,Inexperienced,0,Constitución in Argentina,Argentina,5784,usd,Holiday Season,Yes,25-06-2008,25-06-2009,0.15,77.14,confirmed,68,0.54,Strict,52.35,['Cereals' 'Fruits' 'Vegetables' 'Milk' 'Juices'],247,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",2.03,7,Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK,22.714,3.8367,115.1565,2009
9094119,The Red Bungalow of Deerfield,New Clean Spacious Bed & Breakfast,Shared room,Loft,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Free parking' 'Smart locks for self check-in'
 'Air conditioning']",1297641,Mark,not confirmed,Experienced,0,Oak Lawn in  Texas,Maine,1895,usd,Non Holiday Season,Yes,21-11-2014,21-11-2015,0.12,74.41,not confirmed,969,0,Strict,10.66,['Cereals' 'Fruits' 'Vegetables' 'Bread and Jam' 'Yogurt'],471,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,7.56,2,No smoking,22.441,4.0824,48.7068,2015
1510849,Himalayan Home,Surfer room 15mins to downtown NYC!,Shared room,Loft,"['Wifi' 'Hot water bath' 'Fully equipped kitchen' 'proper double bed'
 'first aid kits' 'Washer and Dryer' 'Smart locks for self check-in'
 'Air conditioning']",3319800,Johnson,not confirmed,Inexperienced,0,Constitución in Argentina,Argentina,1664,usd,Non Holiday Season,No,04-11-2018,04-11-2019,0.13,83.92,confirmed,58,0.54,Moderate,35.09,['Cereals' 'Fruits' 'Vegetables' 'Bread and Jam' 'Milk'],469,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,4.98,3,Clean up and treat the home the way you'd like your home to be treated,23.392,4.0338,101.9582,2019
